word,ambiguity_type,model,nbhd_mean_distance
mute,P,word2vec_tiny_50_HOM,0.23882519
prosperity,M,word2vec_tiny_50_HOM,0.19675985
chowder,M,word2vec_tiny_50_HOM,0.26913252
starve,P,word2vec_tiny_50_HOM,0.213594
moth,P,word2vec_tiny_50_HOM,0.43845567
mug,P,word2vec_tiny_50_HOM,0.41533425
panel,P,word2vec_tiny_50_HOM,0.3679284
tender,H,word2vec_tiny_50_HOM,0.32679474
robe,P,word2vec_tiny_50_HOM,0.48284936
expand,P,word2vec_tiny_50_HOM,0.35179937
flame,P,word2vec_tiny_50_HOM,0.4669356
positive,P,word2vec_tiny_50_HOM,0.33303332
hungry,P,word2vec_tiny_50_HOM,0.5274622
bank,H,word2vec_tiny_50_HOM,0.52226365
bark,H,word2vec_tiny_50_HOM,0.4880566
posture,P,word2vec_tiny_50_HOM,0.2082131
tangible,P,word2vec_tiny_50_HOM,0.16336699
harvest,P,word2vec_tiny_50_HOM,0.40449035
powder,P,word2vec_tiny_50_HOM,0.4578931
sensation,P,word2vec_tiny_50_HOM,0.39294404
gloom,P,word2vec_tiny_50_HOM,0.30424178
climax,P,word2vec_tiny_50_HOM,0.24788927
selfless,M,word2vec_tiny_50_HOM,0.24000658
brandy,P,word2vec_tiny_50_HOM,0.25856388
simmer,P,word2vec_tiny_50_HOM,0.1946721
ashamed,P,word2vec_tiny_50_HOM,0.48211613
stinky,M,word2vec_tiny_50_HOM,0.43984956
grunt,P,word2vec_tiny_50_HOM,0.3607399
flush,H,word2vec_tiny_50_HOM,0.43429604
pulp,P,word2vec_tiny_50_HOM,0.31088385
slumber,P,word2vec_tiny_50_HOM,0.31087893
empathy,P,word2vec_tiny_50_HOM,0.19515051
pedestal,P,word2vec_tiny_50_HOM,0.30822998
stylish,M,word2vec_tiny_50_HOM,0.40931678
pity,P,word2vec_tiny_50_HOM,0.37699792
defend,P,word2vec_tiny_50_HOM,0.4015567
skilled,P,word2vec_tiny_50_HOM,0.35988408
fulfill,P,word2vec_tiny_50_HOM,0.3511528
skid,P,word2vec_tiny_50_HOM,0.3324287
navigate,P,word2vec_tiny_50_HOM,0.37063015
crocodile,P,word2vec_tiny_50_HOM,0.3664627
tenth,P,word2vec_tiny_50_HOM,0.45239872
ingredient,P,word2vec_tiny_50_HOM,0.41618758
gull,H,word2vec_tiny_50_HOM,0.24205945
toot,P,word2vec_tiny_50_HOM,0.41506946
draw,P,word2vec_tiny_50_HOM,0.4068304
drill,H,word2vec_tiny_50_HOM,0.38696012
elegance,P,word2vec_tiny_50_HOM,0.27143824
mischief,P,word2vec_tiny_50_HOM,0.46882334
mirage,P,word2vec_tiny_50_HOM,0.43913212
rule,P,word2vec_tiny_50_HOM,0.4926344
monstrous,P,word2vec_tiny_50_HOM,0.2812892
mellow,P,word2vec_tiny_50_HOM,0.33025205
watering,P,word2vec_tiny_50_HOM,0.4630803
musician,P,word2vec_tiny_50_HOM,0.45722365
ignorance,M,word2vec_tiny_50_HOM,0.2706125
scratch,P,word2vec_tiny_50_HOM,0.4569714
slow,P,word2vec_tiny_50_HOM,0.504393
beach,P,word2vec_tiny_50_HOM,0.44749695
pesky,M,word2vec_tiny_50_HOM,0.37283364
lemon,P,word2vec_tiny_50_HOM,0.41962242
backward,P,word2vec_tiny_50_HOM,0.51301634
groundhog,M,word2vec_tiny_50_HOM,0.2889516
brow,P,word2vec_tiny_50_HOM,0.31229076
flag,H,word2vec_tiny_50_HOM,0.470256
studio,P,word2vec_tiny_50_HOM,0.4297404
wet,P,word2vec_tiny_50_HOM,0.47201112
keyboard,P,word2vec_tiny_50_HOM,0.39651144
surface,P,word2vec_tiny_50_HOM,0.41828185
