word,cv_dist_subtl_all_100,cv_dist_subtl_all_200,cv_dist_subtl_nearest_100,cv_dist_subtl_nearest_200,cv_dist_wiki_all_100,cv_dist_wiki_all_200,cv_dist_wiki_nearest_100,cv_dist_wiki_nearest_200,cv_pairdist_subtl_all_100,cv_pairdist_subtl_all_200,cv_pairdist_subtl_nearest_100,cv_pairdist_subtl_nearest_200,cv_pairdist_wiki_all_100,cv_pairdist_wiki_all_200,cv_pairdist_wiki_nearest_100,cv_pairdist_wiki_nearest_200,gv_dist,gv_pairdist,nbhd_dist_100,nbhd_dist_20,nbhd_dist_200,nbhd_pairdist_100,nbhd_pairdist_20,nbhd_pairdist_200
oppression,0.6806152274266225,0.6806152274266225,0.6806152274266225,0.6806152274266225,0.5776707700114757,0.5776707700114757,0.43365775639933185,0.46740895983018604,0.701647765337197,0.701647765337197,0.701647765337197,0.701647765337197,0.4064348538178875,0.4064348538178875,0.33769193530447683,0.35278210178376584,0.5125540358853828,0.22995419851828938,0.40265554759040095,0.293742200343327,0.44557003084036895,0.5517051014222935,0.4247902141168629,0.6007509452277378
jump,0.7970357397063209,0.7970357397063209,0.6320781249719759,0.66222753254699,0.6765432691499771,0.6765432691499771,0.5193511058733422,0.5518396558460751,0.7279367991389898,0.7279367991389898,0.5066258221256061,0.5076478876525257,0.4515295449097045,0.4515295449097045,0.36102030911543836,0.3830135468048124,0.6613149447814267,0.5502821672163851,0.5161404848368228,0.4178707145345516,0.5524667618591522,0.6472337995104261,0.5596852887212269,0.6607243825392093
wretched,0.7166021184370764,0.7166021184370764,0.6231647178587972,0.7166021184370764,0.6297614358304324,0.6297614358304324,0.5105324637358183,0.5358246453905156,0.6997002709258072,0.6997002709258072,0.5567283467709094,0.6997002709258072,0.4125771222921353,0.4125771222921353,0.34796691789535616,0.3580826994475479,0.46325905685324326,0.4089555560821634,0.44215292314123955,0.34156506641748485,0.47851578131006917,0.5731444338108066,0.44146365268650856,0.6107377796891942
massage,0.7471850473450689,0.7471850473450689,0.5629216536148264,0.6200098633596522,0.629583232736634,0.629583232736634,0.47957193908605883,0.5144549772833268,0.7000495172089549,0.7000495172089549,0.544575022679477,0.5587049476584324,0.44471382265631443,0.44471382265631443,0.3791956363449121,0.39554917041139814,0.5528420453404335,0.057688673667342205,0.46276250503930944,0.3244200972711678,0.5118094644266779,0.6049174435043385,0.44842478461087665,0.6564387455990303
destroy,0.7524555285595355,0.7524555285595355,0.5358669313662779,0.5790371459329544,0.6018699198160219,0.6018699198160219,0.4859109072114937,0.5084958298033879,0.7473223193563838,0.7473223193563838,0.5090979262719973,0.5158732441574589,0.42359821870930897,0.42359821870930897,0.3598505526138738,0.3729832910562815,0.4871414405557376,0.4721463045144392,0.46605892994448156,0.3713340162770231,0.5020940091781761,0.6289528263142198,0.5255302000923089,0.6657143348053483
wishful,0.5781721752868986,0.5781721752868986,0.5781721752868986,0.5781721752868986,0.5847281101953349,0.5847281101953349,0.5079530921873474,0.5332517750193262,0.43007948363419135,0.43007948363419135,0.43007948363419135,0.43007948363419135,0.347184066615808,0.347184066615808,0.2784312954666127,0.2969837994779628,0.7109789166346193,0.0,0.4873431966755575,0.4217522782107225,0.5158604461741642,0.5411467254913122,0.4536138023817608,0.5853357553217301
jumpy,0.7121013723572832,0.7121013723572832,0.6220464780274848,0.7121013723572831,0.6205841997482502,0.6205841997482502,0.5825825610625496,0.6205841997482502,0.6682644763157931,0.6682644763157931,0.48409996810096984,0.6682644763157931,0.3958703893790728,0.3958703893790728,0.37371797588062466,0.3958703893790728,0.44318614239891485,0.221108265360478,0.4884235554782413,0.4015895083382183,0.5175914241910202,0.586850871428194,0.4640696641848105,0.6178776103464513
design,0.7770902117371827,0.7770902117371827,0.571663632871292,0.6160675158653679,0.5848592107028457,0.5848592107028457,0.4429115891860132,0.4707746913399406,0.7563190689032346,0.7563190689032346,0.5405396657946693,0.581160250286924,0.43824724330299225,0.43824724330299225,0.3621003401238051,0.3828454845270743,0.5966778121229114,0.4790189463400397,0.44623927176019984,0.34575224943814026,0.48220395006634365,0.6106529068831557,0.49348903970826746,0.6454497812673713
trivial,0.7002044906142781,0.7002044906142781,0.700204490614278,0.700204490614278,0.5728771160661494,0.5728771160661494,0.467216732069468,0.48842299853694743,0.6780129634588676,0.6780129634588676,0.6780129634588676,0.6780129634588676,0.39466875208745444,0.39466875208745444,0.31593290115276296,0.33156706796682883,0.4649845748088157,0.0,0.45754892688578236,0.3829823192895282,0.4799979889708343,0.5354286846912626,0.5089792815138682,0.519059329651106
mound,0.7655209029472094,0.7655209029472094,0.7655209029472093,0.7655209029472093,0.6470330353901955,0.6470330353901955,0.5186001225766015,0.5488836476166452,0.7607209401586942,0.7607209401586942,0.7607209401586942,0.7607209401586942,0.42885818174769813,0.42885818174769813,0.41357662887573554,0.4099607697553042,0.5820286494072276,0.2978237811943165,0.4634366917315695,0.40167449536041444,0.4861648792989653,0.43701946636996225,0.40661334142642014,0.45384660374871294
battleship,0.8341686766195456,0.8341686766195456,0.8341686766195455,0.8341686766195455,0.6389168571965439,0.6389168571965439,0.446914902610505,0.48485026186162117,0.7780201284129769,0.7780201284129769,0.778020128412977,0.778020128412977,0.42565007134668287,0.42565007134668287,0.30567560516369047,0.33116858595843285,0.568012091258427,0.0,0.36005241418648665,0.25548955549045116,0.40336913167572935,0.4443389664891821,0.3117055062528474,0.5004935161662302
