word,ambiguity_type,model,nbhd_mean_distance
vortex,P,word2vec_recipe_10_HOM,0.4428774
invade,P,word2vec_recipe_10_HOM,0.12589398
fry,H,word2vec_recipe_10_HOM,0.4538051
fetch,P,word2vec_recipe_10_HOM,0.34988263
stressful,M,word2vec_recipe_10_HOM,0.11559438
fabulous,P,word2vec_recipe_10_HOM,0.26249197
cabin,P,word2vec_recipe_10_HOM,0.32158002
assistant,P,word2vec_recipe_10_HOM,0.22448136
fat,P,word2vec_recipe_10_HOM,0.3814861
contribute,P,word2vec_recipe_10_HOM,0.25949433
execute,P,word2vec_recipe_10_HOM,0.21109097
grub,P,word2vec_recipe_10_HOM,0.20599192
trend,P,word2vec_recipe_10_HOM,0.115127765
exhaust,P,word2vec_recipe_10_HOM,0.36204234
jealous,P,word2vec_recipe_10_HOM,0.13339998
squid,M,word2vec_recipe_10_HOM,0.36249477
fragile,P,word2vec_recipe_10_HOM,0.3710706
conclusive,M,word2vec_recipe_10_HOM,0.13533685
mingle,P,word2vec_recipe_10_HOM,0.42273274
clinic,P,word2vec_recipe_10_HOM,0.1312964
tavern,P,word2vec_recipe_10_HOM,0.23694427
hefty,P,word2vec_recipe_10_HOM,0.43571484
aspirin,P,word2vec_recipe_10_HOM,0.25065175
humor,P,word2vec_recipe_10_HOM,0.3263009
ultimate,P,word2vec_recipe_10_HOM,0.25239268
fruity,P,word2vec_recipe_10_HOM,0.35977328
pardon,P,word2vec_recipe_10_HOM,0.18517168
consumer,P,word2vec_recipe_10_HOM,0.20004329
millennium,P,word2vec_recipe_10_HOM,0.22102161
zone,P,word2vec_recipe_10_HOM,0.37905213
appreciate,P,word2vec_recipe_10_HOM,0.17056356
walrus,M,word2vec_recipe_10_HOM,0.17967138
instrument,P,word2vec_recipe_10_HOM,0.32501775
vial,M,word2vec_recipe_10_HOM,0.18282747
microwave,P,word2vec_recipe_10_HOM,0.3609824
mustard,P,word2vec_recipe_10_HOM,0.33164293
camper,P,word2vec_recipe_10_HOM,0.14452225
epic,P,word2vec_recipe_10_HOM,0.22916412
lighthouse,M,word2vec_recipe_10_HOM,0.1781153
agony,P,word2vec_recipe_10_HOM,0.124161154
bike,P,word2vec_recipe_10_HOM,0.15245719
administer,P,word2vec_recipe_10_HOM,0.20482166
thrust,P,word2vec_recipe_10_HOM,0.24007128
basket,P,word2vec_recipe_10_HOM,0.474115
capable,P,word2vec_recipe_10_HOM,0.29524
edible,P,word2vec_recipe_10_HOM,0.35788622
series,P,word2vec_recipe_10_HOM,0.4169256
frenzy,P,word2vec_recipe_10_HOM,0.2609978
backpack,P,word2vec_recipe_10_HOM,0.26596883
fear,P,word2vec_recipe_10_HOM,0.24657524
gift,P,word2vec_recipe_10_HOM,0.384731
frequency,P,word2vec_recipe_10_HOM,0.33320084
caviar,M,word2vec_recipe_10_HOM,0.41906503
giant,P,word2vec_recipe_10_HOM,0.38222888
timer,P,word2vec_recipe_10_HOM,0.4574133
hobby,H,word2vec_recipe_10_HOM,0.1860984
scrape,P,word2vec_recipe_10_HOM,0.4929292
discretion,P,word2vec_recipe_10_HOM,0.33724543
location,P,word2vec_recipe_10_HOM,0.37745345
wolf,P,word2vec_recipe_10_HOM,0.29814744
shred,P,word2vec_recipe_10_HOM,0.4563629
solar,P,word2vec_recipe_10_HOM,0.45904285
rabbi,P,word2vec_recipe_10_HOM,0.14270535
essence,P,word2vec_recipe_10_HOM,0.44999242
dimension,P,word2vec_recipe_10_HOM,0.381076
homecoming,P,word2vec_recipe_10_HOM,0.16251116
lease,P,word2vec_recipe_10_HOM,0.33025438
nameless,P,word2vec_recipe_10_HOM,0.114199154
evident,M,word2vec_recipe_10_HOM,0.294021
flashlight,M,word2vec_recipe_10_HOM,0.21046868
diplomat,P,word2vec_recipe_10_HOM,0.3068593
exact,P,word2vec_recipe_10_HOM,0.32007435
debate,P,word2vec_recipe_10_HOM,0.17279464
pump,H,word2vec_recipe_10_HOM,0.31460297
healthy,P,word2vec_recipe_10_HOM,0.4834141
flank,P,word2vec_recipe_10_HOM,0.33134452
therapy,P,word2vec_recipe_10_HOM,0.1978131
crafty,M,word2vec_recipe_10_HOM,0.17349412
napalm,P,word2vec_recipe_10_HOM,0.1734175
industrial,P,word2vec_recipe_10_HOM,0.24213019
club,P,word2vec_recipe_10_HOM,0.40561852
efficiency,P,word2vec_recipe_10_HOM,0.24372941
racetrack,M,word2vec_recipe_10_HOM,0.18265772
orb,P,word2vec_recipe_10_HOM,0.17606796
