word,ambiguity_type,model,nbhd_mean_distance
remind,P,word2vec_tiny_40_HYP,0.5108587
blindfold,P,word2vec_tiny_40_HYP,0.36509228
drool,P,word2vec_tiny_40_HYP,0.365918
swoop,P,word2vec_tiny_40_HYP,0.4399951
gas,P,word2vec_tiny_40_HYP,0.44603235
ankle,M,word2vec_tiny_40_HYP,0.3753831
reporter,P,word2vec_tiny_40_HYP,0.42110538
scheme,P,word2vec_tiny_40_HYP,0.22280851
accomplish,P,word2vec_tiny_40_HYP,0.3390247
adapt,P,word2vec_tiny_40_HYP,0.2701334
massive,P,word2vec_tiny_40_HYP,0.3313669
proposal,P,word2vec_tiny_40_HYP,0.2762829
count,H,word2vec_tiny_40_HYP,0.5306277
minus,P,word2vec_tiny_40_HYP,0.26873243
bath,P,word2vec_tiny_40_HYP,0.4759206
limousine,P,word2vec_tiny_40_HYP,0.36101806
glitter,P,word2vec_tiny_40_HYP,0.39314392
soup,P,word2vec_tiny_40_HYP,0.32271853
portable,P,word2vec_tiny_40_HYP,0.34619313
helicopter,M,word2vec_tiny_40_HYP,0.43803024
skull,P,word2vec_tiny_40_HYP,0.43876195
yacht,P,word2vec_tiny_40_HYP,0.38500798
jog,H,word2vec_tiny_40_HYP,0.5314781
inspire,P,word2vec_tiny_40_HYP,0.25835946
chin,P,word2vec_tiny_40_HYP,0.45117348
casserole,P,word2vec_tiny_40_HYP,0.25000972
nervous,P,word2vec_tiny_40_HYP,0.49813452
clamp,P,word2vec_tiny_40_HYP,0.3049903
relative,P,word2vec_tiny_40_HYP,0.38211623
batch,P,word2vec_tiny_40_HYP,0.39178416
loyalty,P,word2vec_tiny_40_HYP,0.2998941
brittle,P,word2vec_tiny_40_HYP,0.42018834
click,P,word2vec_tiny_40_HYP,0.441015
population,P,word2vec_tiny_40_HYP,0.26432526
outline,P,word2vec_tiny_40_HYP,0.35960907
peep,H,word2vec_tiny_40_HYP,0.36079627
birthmark,M,word2vec_tiny_40_HYP,0.23178169
task,P,word2vec_tiny_40_HYP,0.46137795
coconut,P,word2vec_tiny_40_HYP,0.44560784
decipher,P,word2vec_tiny_40_HYP,0.19975518
guardian,P,word2vec_tiny_40_HYP,0.4178671
runner,P,word2vec_tiny_40_HYP,0.46535885
moody,P,word2vec_tiny_40_HYP,0.18709844
diver,P,word2vec_tiny_40_HYP,0.44505942
punish,P,word2vec_tiny_40_HYP,0.49267268
constant,P,word2vec_tiny_40_HYP,0.29521674
cowgirl,P,word2vec_tiny_40_HYP,0.4461865
concern,P,word2vec_tiny_40_HYP,0.3396375
remove,P,word2vec_tiny_40_HYP,0.5060076
shift,P,word2vec_tiny_40_HYP,0.33190715
pinch,P,word2vec_tiny_40_HYP,0.5051158
adorable,P,word2vec_tiny_40_HYP,0.47286242
stash,P,word2vec_tiny_40_HYP,0.4874503
rage,P,word2vec_tiny_40_HYP,0.33319312
crisp,P,word2vec_tiny_40_HYP,0.3616996
grow,P,word2vec_tiny_40_HYP,0.4909078
lair,P,word2vec_tiny_40_HYP,0.32427818
smudge,P,word2vec_tiny_40_HYP,0.41411567
virtue,P,word2vec_tiny_40_HYP,0.29455483
tremble,P,word2vec_tiny_40_HYP,0.49485835
numerous,P,word2vec_tiny_40_HYP,0.32025078
spoil,P,word2vec_tiny_40_HYP,0.55112207
strand,H,word2vec_tiny_40_HYP,0.35857356
shady,P,word2vec_tiny_40_HYP,0.547053
